height,width,brightness,contrast,rms_contrast,entropy,sharpness,colorfulness,saturation,mean_r,mean_g,mean_b,edge_density,ID,split,labels
368,368,211.25714792060492,41.5383552038642,0.19662461325498257,6.090513706207275,64.54517576362483,42.272159576416016,48.81870274102079,226.6156463623047,205.6485137939453,199.65240478515625,0.018711602079395085,01337695.jpg,phase1_train,SNE
370,368,198.03940217391303,44.58210711077891,0.2251173574363283,6.301782608032227,88.75373040205474,44.77607345581055,67.25290834312574,225.1891632080078,187.7795867919922,179.53585815429688,0.03058901292596945,00223621.jpg,phase1_train,BL
368,368,212.88498345935727,46.5163275644162,0.2185045022435428,5.622574806213379,49.243868356426816,43.86455535888672,51.090500945179585,227.425537109375,207.8378448486328,200.26954650878906,0.015521620982986768,00786668.jpg,phase1_train,BL
370,368,187.80069770857816,35.50244924332207,0.18904322234931295,6.50309944152832,73.4571345027464,48.97321319580078,75.89409518213866,225.31497192382812,172.08724975585938,170.34664916992188,0.01814042303172738,00036932.jpg,phase1_train,LY
368,368,208.96356628071834,41.94479186639837,0.20072777476109221,6.134514808654785,64.46659416584151,44.484352111816406,51.024168537334596,224.74488830566406,202.66461181640625,200.07180786132812,0.026553638941398866,00951613.jpg,phase1_train,MO
370,368,192.11940364277322,43.175847017566554,0.22473444105163512,6.221224784851074,82.32798074619477,44.387603759765625,69.00326086956522,221.71719360351562,180.39181518554688,174.74432373046875,0.0462617508813161,00289867.jpg,phase1_train,SNE
370,368,192.03149236192715,43.77097356599509,0.2279364327157458,6.3104939460754395,73.51729303203633,44.718814849853516,69.72380287896593,221.42050170898438,180.63621520996094,173.4522247314453,0.04159077555816686,00211448.jpg,phase1_train,LY
368,368,204.9085981805293,40.66932025383164,0.19847541985293166,6.340428829193115,75.22890887019037,41.993675231933594,49.258477079395085,221.62351989746094,198.29330444335938,194.96798706054688,0.03477227079395085,01253160.jpg,phase1_train,SNE
368,368,203.25267308601136,39.25101684808168,0.19311439332636604,6.545654773712158,66.12367072948474,42.824981689453125,50.79341180293006,220.5177001953125,196.47274780273438,192.85765075683594,0.014960420604914934,01302195.jpg,phase1_train,SNE
368,368,202.8399397448015,42.442578603812386,0.2092417225521208,6.4905242919921875,65.17474671341469,45.279022216796875,55.23919689272212,220.7490234375,196.27989196777344,189.49537658691406,0.005368324669187146,01028405.jpg,phase1_train,BL
370,368,181.68982079905993,53.98441925876245,0.29712406960510196,6.76671028137207,121.0092692015062,53.445281982421875,77.39133372502938,210.09519958496094,169.0138702392578,172.3793182373047,0.06152320799059929,00065000.jpg,phase1_train,MMY
368,368,200.03963108459357,43.422998362990064,0.21707197674022502,6.5509467124938965,90.71647735674985,44.081298828125,53.285798676748584,216.64443969726562,193.68194580078125,189.06932067871094,0.04010367438563327,01123858.jpg,phase1_train,SNE
368,368,219.52699669187146,39.41570694322991,0.17954833509158574,5.636759281158447,34.4013284829652,39.80736541748047,46.212392190453684,233.2908477783203,215.23497009277344,205.17710876464844,0.0064390359168241965,01382777.jpg,phase1_train,LY
370,368,194.15004406580493,47.24674232887766,0.24335169385546068,6.050070285797119,80.00779400758344,45.94198226928711,68.6318375440658,221.1581573486328,183.63951110839844,177.07151794433594,0.0408930669800235,00248966.jpg,phase1_train,LY
370,368,190.38603848413632,49.10429735418625,0.25791963259090644,6.66745662689209,97.26935905031029,51.939605712890625,75.95046269095182,221.44583129882812,177.6967315673828,174.23704528808594,0.03487074030552292,00065047.jpg,phase1_train,BA
368,368,196.74146384688092,49.6044677175405,0.25213021442199,6.578738212585449,78.06576437375236,52.05072021484375,60.535769139886575,215.34751892089844,188.46026611328125,190.42420959472656,0.019723239603024575,01235917.jpg,phase1_train,BA
370,368,186.8613249118684,44.25903974805256,0.2368550021363274,6.438494682312012,82.44230427654063,44.734825134277344,70.95676410105757,216.95767211914062,174.6116485595703,170.7762908935547,0.04642332549941246,00083042.jpg,phase1_train,SNE
370,368,193.78532608695653,42.86972733125946,0.22122277251684128,6.404654502868652,88.53638862346226,46.177242279052734,70.31799353701527,224.29385375976562,181.7122802734375,175.89013671875,0.037397179788484135,00065007.jpg,phase1_train,SNE
368,368,217.85763232514176,44.77624951149511,0.20552986291129294,5.412062644958496,35.260256140915224,41.146141052246094,49.64072099480151,231.89024353027344,214.16159057617188,199.61888122558594,0.005095108695652174,01382854.jpg,phase1_train,LY
368,368,205.92306385869566,40.31727346065621,0.19578804097696348,6.361442565917969,62.336760466139204,41.52014923095703,51.933468218336486,223.9120635986328,199.58901977539062,191.26963806152344,0.005058187618147448,01028407.jpg,phase1_train,BL
368,368,203.71542710302458,40.433045041567354,0.1984780702084048,6.449008941650391,75.41120062482668,42.33600616455078,51.65503898865784,220.8782196044922,197.36862182617188,191.20339965820312,0.027919718809073724,01241683.jpg,phase1_train,SNE
368,368,205.9000694116257,46.195739980682816,0.22436000088941432,6.306356430053711,57.5109082777676,46.170562744140625,54.220662511814744,221.87136840820312,199.84442138671875,194.86361694335938,0.009976075141776938,00982806.jpg,phase1_train,MO
368,368,206.5226030836484,44.58793055312023,0.21589854897946506,6.362253665924072,68.77817969566024,43.313438415527344,51.3406117084121,223.12799072265625,200.19439697265625,195.41590881347656,0.016629253308128544,01337673.jpg,phase1_train,SNE
370,368,192.43443008225617,43.528629349990155,0.22619979753718722,6.241184711456299,86.77914923459613,45.195472717285156,70.26758960047003,222.34133911132812,180.7842559814453,173.8146209716797,0.04562279670975323,00083307.jpg,phase1_train,SNE
370,368,186.26534958871915,45.20276398205002,0.24267940247168898,6.320119857788086,91.08719444337405,45.93046951293945,71.50728554641599,216.50244140625,173.75103759765625,171.20335388183594,0.057638072855464156,00290585.jpg,phase1_train,SNE
368,368,201.14282549621927,43.79764583106726,0.2177440110293493,6.659499645233154,76.77749215226227,42.097434997558594,50.392559664461245,216.9676055908203,194.8137664794922,192.0789794921875,0.02416115311909263,01178140.jpg,phase1_train,MMY
368,368,197.70971910444234,53.88803177104501,0.27256136796197,6.587366580963135,72.04863171743061,51.6600341796875,59.02768342391305,212.39895629882812,190.38929748535156,196.68157958984375,0.021635751417769376,01209439.jpg,phase1_train,MO
368,368,214.63651937618147,40.70047028923892,0.18962509370681874,5.89562463760376,47.62996666743618,41.41771697998047,49.52474450614367,230.3271026611328,209.85691833496094,197.91844177246094,0.004984345463137996,01382767.jpg,phase1_train,LY
368,368,202.93111265359167,42.705263340694444,0.2104421671562566,6.453167915344238,78.29820786834644,42.017372131347656,50.27664224952741,219.43109130859375,196.7544708251953,191.40931701660156,0.02249232041587902,01274957.jpg,phase1_train,SNE
370,368,180.53476057579317,52.31831128147338,0.2897963296642392,6.789657115936279,112.20756490579791,54.48637008666992,80.40300381903643,211.5413055419922,166.8313446044922,169.57215881347656,0.055243830787309045,00017472.jpg,phase1_train,LY
368,368,205.06588935491493,44.772761939601025,0.21833354080540257,6.230608940124512,72.53106173691104,45.75266647338867,52.99785119328922,220.5417022705078,198.4757537841797,198.14881896972656,0.02483311672967864,00814651.jpg,phase1_train,MO
368,368,215.70009747164463,37.58255069470642,0.17423520416077568,6.046909332275391,49.23724628156374,37.061737060546875,43.03783672022684,229.5777130126953,211.07203674316406,202.87168884277344,0.008528768903591683,01325636.jpg,phase1_train,SNE
368,368,202.88626831285444,46.59949077669002,0.22968282148671543,6.531339645385742,65.80639519618317,46.53481674194336,53.75694116257089,217.7735137939453,196.74049377441406,195.2973175048828,0.01846053875236295,01209352.jpg,phase1_train,MO
368,368,210.19091150756142,42.458258525535804,0.20199854512743698,5.901135444641113,68.43808548038137,40.21282196044922,47.04071656427221,225.2165985107422,204.95840454101562,197.7119598388672,0.028709829867674858,01113385.jpg,phase1_train,SNE
370,368,197.8973633960047,43.902312896414294,0.22184384835243734,6.198760032653809,82.25224121976323,45.56935501098633,69.09839159811986,226.7843475341797,187.0697479248047,177.73513793945312,0.02943595769682726,00036977.jpg,phase1_train,SNE
368,368,200.96132886342156,47.10031470129937,0.23437501500069663,6.548757553100586,72.31046885130613,47.84577560424805,55.82981598534972,217.47996520996094,194.0197296142578,193.25181579589844,0.01991522920604915,01330673.jpg,phase1_train,MY
368,368,203.46521296077503,42.56920899006224,0.20922106615369118,6.453217029571533,66.11296936089902,43.01991271972656,50.482403414461245,219.51051330566406,197.26979064941406,193.18797302246094,0.01625265831758034,01204631.jpg,phase1_train,LY
370,368,180.40641891891892,52.5737128415591,0.29141819268509184,6.686992645263672,109.08672888617075,53.31776428222656,78.71186839012925,210.39588928222656,167.00489807128906,170.62796020507812,0.062088719153936545,00017516.jpg,phase1_train,MY
